"filename", "language", "JSON", "JavaScript", "HTML", "Ruby", "Markdown", "YAML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/haru/Desktop/haruapp/app/views/users/mailer/email_changed.html.erb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/haru/Desktop/haruapp/app/views/users/mailer/password_change.html.erb", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/haru/Desktop/haruapp/app/views/users/mailer/reset_password_instructions.html.erb", "Ruby", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"/Users/haru/Desktop/haruapp/app/views/users/mailer/unlock_instructions.html.erb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"/Users/haru/Desktop/haruapp/app/views/users/passwords/edit.html.erb", "Ruby", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/haru/Desktop/haruapp/app/views/users/passwords/new.html.erb", "Ruby", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/haru/Desktop/haruapp/app/views/users/registrations/edit.html.erb", "Ruby", 0, 0, 0, 43, 0, 0, 0, 0, 0, 13, 56
"/Users/haru/Desktop/haruapp/app/views/users/registrations/new.html.erb", "Ruby", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"/Users/haru/Desktop/haruapp/app/views/users/sessions/new.html.erb", "Ruby", 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/Users/haru/Desktop/haruapp/app/views/users/shared/_error_messages.html.erb", "Ruby", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/haru/Desktop/haruapp/app/views/users/shared/_links.html.erb", "Ruby", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Users/haru/Desktop/haruapp/app/views/users/show.html.erb", "Ruby", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/haru/Desktop/haruapp/app/views/users/unlocks/new.html.erb", "Ruby", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/haru/Desktop/haruapp/babel.config.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 83
"/Users/haru/Desktop/haruapp/config.ru", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 1, 3, 7
"/Users/haru/Desktop/haruapp/config/application.rb", "Ruby", 0, 0, 0, 8, 0, 0, 0, 0, 10, 5, 23
"/Users/haru/Desktop/haruapp/config/boot.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/haru/Desktop/haruapp/config/cable.yml", "YAML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"/Users/haru/Desktop/haruapp/config/cloudinary.yml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"/Users/haru/Desktop/haruapp/config/database.yml", "YAML", 0, 0, 0, 0, 0, 13, 0, 0, 9, 4, 26
"/Users/haru/Desktop/haruapp/config/environment.rb", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
